,,,,,,,,
Financial Year,Week Number,Week start date,Week end date,RTD tarrif rate,RTDs and Spirits,,,
,,,,,"Tariff 2.00
RTDs; Other excisable beverages not exceeding 10% by volume of alcohol",average rtd consumptionper tarrif period,,"Tariff 3.00
Spirits; Other excisable beverages exceeding 10% by volume of alcohol"
,,,,,(litres of alcohol),,,(litres of alcohol)
2006-07,1,1/7/06,7/7/06,35.98,"280,370","297,895","10,087,713","64,082"
2006-07,2,08/07/2006,14/07/2006,35.98,"277,190",,"9,973,296","70,570"
2006-07,3,15/7/06,21/7/06,35.98,"295,785",,"10,642,344","61,820"
2006-07,4,22/07/2006,28/07/2006,35.98,"338,233",,"12,169,623","71,126"
2006-07,5,29/7/06,4/8/06,,"299,626",,0,"60,231"
2006-07,6,05/08/2006,11/08/2006,37.90,"275,921","364,377","10,457,406","52,994"
2006-07,7,12/8/06,18/8/06,37.90,"295,344",,"11,193,538","56,853"
2006-07,8,19/08/2006,25/08/2006,37.90,"307,282",,"11,645,988","61,363"
2006-07,9,26/8/06,1/9/06,37.90,"328,301",,"12,442,608","65,982"
2006-07,10,02/09/2006,08/09/2006,37.90,"310,130",,"11,753,927","59,154"
2006-07,11,9/9/06,15/9/06,37.90,"381,500",,"14,458,850","75,459"
2006-07,12,16/09/2006,22/09/2006,37.90,"368,717",,"13,974,374","52,408"
2006-07,13,23/9/06,29/9/06,37.90,"382,438",,"14,494,400","64,156"
2006-07,14,30/09/2006,06/10/2006,37.90,"370,861",,"14,055,632","75,590"
2006-07,15,7/10/06,13/10/06,37.90,"395,002",,"14,970,576","91,418"
2006-07,16,14/10/2006,20/10/2006,37.90,"393,199",,"14,902,242","88,725"
2006-07,17,21/10/06,27/10/06,37.90,"431,964",,"16,371,436","79,101"
2006-07,18,28/10/2006,03/11/2006,37.90,"403,013",,"15,274,193","72,681"
2006-07,19,4/11/06,10/11/06,37.90,"356,893",,"13,526,245","89,407"
2006-07,20,11/11/2006,17/11/2006,37.90,"428,726",,"16,248,715","81,118"
2006-07,21,18/11/06,24/11/06,37.90,"422,543",,"16,014,380","83,696"
2006-07,22,25/11/2006,01/12/2006,37.90,"448,410",,"16,994,739","79,242"
2006-07,23,2/12/06,8/12/06,37.90,"416,937",,"15,801,912","94,613"
